name,impl,M,N,K,group_size,priority,tag,ms_mean,ms_p50,ms_p95,ms_min,tflops_mean,speedup_vs_fp16,error
8b-b1,fp16,1,4096,4096,128,0,llama-3-8b,0.03125939226150513,0.03109503984451294,0.032499840259552,0.030690560340881346,1.0734192053158096,1.0,
8b-b1,marlin,1,4096,4096,128,0,llama-3-8b,0.05031539249420166,0.04944896221160889,0.05481664180755615,0.04859776020050049,0.6668820481499137,0.6212689738057287,
8b-b4,fp16,4,4096,4096,128,0,llama-3-8b,0.03111692762374878,0.031191039085388183,0.0313753604888916,0.03068095922470093,4.313334838930678,1.0,
8b-b4,marlin,4,4096,4096,128,0,llama-3-8b,0.04909120082855224,0.049052162170410155,0.04937856197357178,0.048738560676574706,2.7340485817152143,0.6338595735806624,
8b-b8,fp16,8,4096,4096,128,0,llama-3-8b,0.03107699203491211,0.030993280410766603,0.03158463954925537,0.030524799823760985,8.637755407551598,1.0,
8b-b8,marlin,8,4096,4096,128,0,llama-3-8b,0.049112575531005856,0.04895423889160156,0.0496614408493042,0.048705921173095704,5.465717346273782,0.6327705623031827,
70b-tp2-b1,fp16,1,8192,4096,128,0,llama-3-70b,0.05024230480194092,0.048978562355041506,0.055474557876586915,0.048785281181335446,1.3357043285444083,1.0,
70b-tp2-b1,marlin,1,8192,4096,128,0,llama-3-70b,0.050790912628173826,0.05071936130523682,0.052194561958312985,0.04934783935546875,1.3212769869146743,0.9891987011485871,
70b-tp2-b4,fp16,4,8192,4096,128,0,llama-3-70b,0.049125759124755856,0.04922944068908691,0.04938943862915039,0.048624639511108396,5.464250543555016,1.0,
70b-tp2-b4,marlin,4,8192,4096,128,0,llama-3-70b,0.049331327438354486,0.049445118904113766,0.04961215972900391,0.04886079788208008,5.441480494021631,0.9958329052901422,
70b-tp2-b8,fp16,8,8192,4096,128,0,llama-3-70b,0.04937472057342529,0.04941311836242676,0.04968192100524902,0.04906688213348389,10.873396462094762,1.0,
70b-tp2-b8,marlin,8,8192,4096,128,0,llama-3-70b,0.04931827163696289,0.04899263858795166,0.05002560138702392,0.048818559646606446,10.885841984730622,1.0011445846455838,
